,flight_number,scheduled_departure,actual_departure,departure_gate,scheduled_arrival,actual_arrival,arrival_gate
673,UA-5487-SFO-MRY,2012-01-03 10:28:00,2012-01-03 10:22:00,78A,2012-01-03 11:17:00,2012-01-03 11:13:00,-
674,UA-3050-PHX-CLT,2012-01-03 11:05:00,2012-01-03 11:05:00,A23,2012-01-03 16:57:00,2012-01-03 17:10:00,B6
675,UA-828-SFO-ORD,2012-01-03 23:10:00,2012-01-03 23:10:00,86,2012-01-04 05:20:00,2012-01-04 05:20:00,C26
676,UA-2830-MCO-CLT,2012-01-03 15:27:00,2012-01-03 15:27:00,58,2012-01-03 17:05:00,2012-01-03 17:04:00,C15
677,UA-37-EWR-MCO,2012-01-03 13:29:00,2012-01-03 13:29:00,C112,2012-01-03 16:22:00,2012-01-03 15:55:00,39
678,UA-37-EDI-EWR,2012-01-03 09:05:00,2012-01-03 20:49:00,-,2012-01-03 11:53:00,2012-01-03 23:59:00,B56
679,UA-2708-EWR-CLT,2012-01-03 14:55:00,2012-01-03 14:55:00,A37,2012-01-03 16:53:00,2012-01-03 16:33:00,B4
680,UA-233-LAX-JFK,2012-01-03 16:40:00,2012-01-03 16:40:00,76,2012-01-04 00:59:00,2012-01-04 00:59:00,7
681,UA-2726-FLL-PHL,2012-01-03 16:00:00,2012-01-03 16:00:00,E3,2012-01-03 18:46:00,2012-01-03 18:37:00,A8
682,UA-2945-PHL-CLT,2012-01-03 00:00:00,2012-01-03 02:12:00,C26,2012-01-03 13:45:00,2012-01-03 13:23:00,C17
683,UA-6273-YYC-SFO,2012-01-03 07:35:00,2012-01-03 08:19:00,-,2012-01-03 09:43:00,2012-01-03 10:39:00,70
684,UA-2314-ATL-PHL,2012-01-03 14:55:00,2012-01-03 14:55:00,D23,2012-01-03 17:00:00,2012-01-03 17:03:00,A8
685,UA-382-IAD-LAX,2012-01-03 12:34:00,2012-01-03 12:31:00,C19,2012-01-03 15:19:00,2012-01-03 14:52:00,70B
686,UA-382-IAD-LAX,2012-01-03 12:34:00,2012-01-03 12:31:00,C19,2012-01-03 15:19:00,2012-01-03 14:50:00,70B
687,UA-858-PVG-SFO,2012-01-03 13:45:00,2012-01-03 13:32:00,77,2012-01-03 08:35:00,2012-01-03 08:08:00,100
688,UA-854-SFO-IAH,2012-01-03 07:42:00,2012-01-03 07:41:00,100,2012-01-03 13:33:00,2012-01-03 13:17:00,C16
689,CO-1586-IAH-MCO,2012-01-03 19:15:00,2012-01-03 19:23:00,-,2012-01-03 22:27:00,2012-01-03 22:54:00,-
690,CO-1694-LAX-IAH,2012-01-03 18:18:00,2012-01-03 18:18:00,-,2012-01-03 23:21:00,2012-01-03 23:21:00,-
691,CO-4888-IAH-DAL,2012-01-03 09:00:00,2012-01-03 09:06:00,-,2012-01-03 10:10:00,2012-01-03 10:09:00,-
692,CO-16-LAX-EWR,2012-01-03 10:25:00,2012-01-03 10:34:00,-,2012-01-03 18:39:00,2012-01-03 18:52:00,-
693,CO-62-IAH-EWR,2012-01-03 14:30:00,2012-01-03 15:18:00,-,2012-01-03 19:03:00,2012-01-03 20:09:00,-
694,CO-52-IAH-LAX,2012-01-03 07:35:00,2012-01-03 07:44:00,-,2012-01-03 09:30:00,2012-01-03 09:26:00,-
695,CO-89-IAH-EWR,2012-01-03 06:00:00,2012-01-03 06:00:00,-,2012-01-03 10:20:00,2012-01-03 10:28:00,-
696,CO-45-EWR-MIA,2012-01-03 15:35:00,2012-01-03 16:03:00,-,2012-01-03 18:52:00,2012-01-03 18:41:00,-
697,CO-63-EWR-IAH,2012-01-03 17:25:00,2012-01-03 17:30:00,-,2012-01-03 20:30:00,2012-01-03 19:56:00,-
698,CO-50-CLE-EWR,2012-01-03 14:50:00,2012-01-03 14:48:00,-,2012-01-03 16:48:00,2012-01-03 16:47:00,-
699,CO-1561-PHX-IAH,2012-01-03 08:30:00,2012-01-03 08:31:00,-,2012-01-03 12:02:00,2012-01-03 11:59:00,-
700,CO-47-IAH-LAX,2012-01-03 19:14:00,2012-01-03 19:22:00,-,2012-01-03 21:10:00,2012-01-03 20:55:00,-
701,AA-1221-MCO-ORD,2011-12-28 20:00:00,2011-12-28 19:54:00,15,2011-12-28 21:50:00,2011-12-28 21:49:00,K4
702,AA-4307-ORD-DTW,2011-12-28 18:45:00,2011-12-28 18:56:00,G11,2011-12-28 21:10:00,2011-12-28 21:05:00,D28
703,AA-616-DFW-DTW,2011-12-28 09:05:00,2011-12-28 09:14:00,C16,2011-12-28 12:35:00,2011-12-28 12:47:00,D32
704,AA-431-MIA-SFO,2011-12-28 08:35:00,2011-12-28 08:35:00,D1,2011-12-28 11:50:00,2011-12-28 11:36:00,57
705,AA-3756-ORD-SLC,2011-12-28 12:15:00,2011-12-28 12:10:00,G19,2011-12-28 14:45:00,2011-12-28 14:26:00,A3
706,AA-2050-ORD-MIA,2011-12-28 10:40:00,2011-12-28 10:40:00,L8,2011-12-28 14:45:00,2011-12-28 14:27:00,D16
707,AA-3804-PHL-ORD,2011-12-28 14:35:00,2011-12-28 14:31:00,A7,2011-12-28 16:05:00,2011-12-28 15:46:00,G19
708,AA-1664-MIA-ATL,2011-12-28 10:15:00,2011-12-28 10:32:00,D16,2011-12-28 12:10:00,2011-12-28 12:17:00,T11
709,AA-789-ORD-DEN,2011-12-28 13:05:00,2011-12-28 13:04:00,K9,2011-12-28 14:35:00,2011-12-28 14:30:00,A49
710,AA-1733-ORD-PHX,2011-12-28 19:45:00,2011-12-28 19:43:00,H6,2011-12-28 22:30:00,2011-12-28 00:00:00,6
711,AA-1733-ORD-PHX,2011-12-28 19:45:00,2011-12-28 19:43:00,H6,2011-12-28 22:30:00,2011-12-28 00:00:00,6
712,AA-4277-CVG-JFK,2011-12-28 12:10:00,2011-12-28 12:03:00,1,2011-12-28 14:15:00,2011-12-28 13:57:00,32H
713,AA-2312-DFW-DTW,2011-12-28 20:25:00,2011-12-28 00:00:00,A29,2011-12-28 23:50:00,2011-12-28 00:00:00,D32
714,AA-85-JFK-SFO,2011-12-28 15:05:00,2011-12-28 15:05:00,38,2011-12-28 18:30:00,2011-12-28 18:36:00,58B
715,AA-404-MIA-MCO,2011-12-28 06:45:00,2011-12-28 06:40:00,E5,2011-12-28 07:45:00,2011-12-28 07:39:00,14
716,AA-446-DFW-PHL,2011-12-28 11:50:00,2011-12-28 11:49:00,C29,2011-12-28 15:50:00,2011-12-28 15:42:00,A3
717,AA-2268-PHX-ORD,2011-12-28 07:15:00,2011-12-28 07:12:00,6,2011-12-28 11:35:00,2011-12-28 11:27:00,H10
718,AA-4344-ORD-DTW,2011-12-28 11:45:00,2011-12-28 11:44:00,H4,2011-12-28 14:00:00,2011-12-28 13:57:00,D28
719,AA-484-DFW-MIA,2011-12-28 16:15:00,2011-12-28 16:34:00,D29,2011-12-28 19:55:00,2011-12-28 20:09:00,D2
720,AA-3979-CVG-ORD,2011-12-28 07:30:00,2011-12-28 07:22:00,3,2011-12-28 08:00:00,2011-12-28 07:37:00,G19
721,AA-3063-SLC-LAX,2011-12-28 20:20:00,2011-12-28 20:09:00,A3,2011-12-28 21:20:00,2011-12-28 00:00:00,44H
722,AA-3859-IAH-ORD,2011-12-28 07:10:00,2011-12-28 07:27:00,A29,2011-12-28 09:40:00,2011-12-28 10:01:00,H5
723,AA-3842-MSP-ORD,2011-12-28 06:00:00,2011-12-28 06:05:00,E14,2011-12-28 07:30:00,2011-12-28 07:22:00,H5
724,AA-1544-SAN-ORD,2011-12-28 11:25:00,2011-12-28 11:20:00,27,2011-12-28 17:25:00,2011-12-28 17:32:00,H6
725,AA-649-ORD-SNA,2011-12-28 13:30:00,2011-12-28 00:00:00,K8,2011-12-28 15:50:00,2011-12-28 00:00:00,7
726,AA-1640-MIA-MCO,2011-12-28 18:30:00,2011-12-28 00:00:00,D2,2011-12-28 19:25:00,2011-12-28 00:00:00,14
727,AA-2525-DFW-MIA,2011-12-28 07:25:00,2011-12-28 07:25:00,D30,2011-12-28 11:10:00,2011-12-28 10:51:00,D1
728,AA-1279-DFW-PHX,2011-12-28 13:00:00,2011-12-28 13:04:00,C17,2011-12-28 14:35:00,2011-12-28 14:28:00,4
729,AA-1522-SFO-ORD,2011-12-28 23:55:00,2011-12-28 00:00:00,57,2011-12-29 05:50:00,2011-12-29 00:00:00,H10
730,AA-1434-DFW-MCO,2011-12-28 07:15:00,2011-12-28 07:40:00,C15,2011-12-28 10:35:00,2011-12-28 10:55:00,17
731,AA-59-JFK-SFO,2011-12-28 07:10:00,2011-12-28 07:07:00,47,2011-12-28 10:45:00,2011-12-28 10:25:00,58B
732,AA-415-BOS-ORD,2011-12-28 08:35:00,2011-12-28 08:35:00,B29,2011-12-28 10:40:00,2011-12-28 10:10:00,H15
733,AA-222-LAX-BOS,2011-12-28 07:10:00,2011-12-28 07:05:00,45,2011-12-28 15:30:00,2011-12-28 15:33:00,B28
734,AA-3823-LAX-DEN,2011-12-28 21:00:00,2011-12-28 00:00:00,44J,2011-12-29 00:15:00,2011-12-29 00:00:00,A49
735,AA-1165-JFK-MIA,2011-12-28 06:59:00,2011-12-28 06:55:00,5,2011-12-28 10:34:00,2011-12-28 10:08:00,D24
736,AA-3786-IAH-ORD,2011-12-28 16:00:00,2011-12-28 15:54:00,A29,2011-12-28 18:40:00,2011-12-28 18:21:00,G17
737,AA-4330-CVG-ORD,2011-12-28 15:35:00,2011-12-28 15:28:00,5,2011-12-28 16:00:00,2011-12-28 15:34:00,G14
738,AA-3468-CVG-MIA,2011-12-28 07:00:00,2011-12-28 06:59:00,1,2011-12-28 09:55:00,2011-12-28 09:37:00,D60D
739,AA-204-LAX-MCO,2011-12-28 23:25:00,2011-12-28 00:00:00,40,2011-12-29 06:55:00,2011-12-29 00:00:00,TBA
740,AA-466-IAH-MIA,2011-12-28 06:00:00,2011-12-28 06:15:00,A27,2011-12-28 09:20:00,2011-12-28 09:27:00,D16
741,AA-3-JFK-LAX,2011-12-28 12:00:00,2011-12-28 11:55:00,44,2011-12-28 15:15:00,2011-12-28 14:34:00,46A
742,AA-1007-MIA-PHX,2011-12-28 16:55:00,2011-12-28 16:53:00,D20,2011-12-28 20:05:00,2011-12-28 19:42:00,6
743,AA-271-MIA-LAX,2011-12-28 11:35:00,2011-12-28 11:33:00,D41,2011-12-28 14:25:00,2011-12-28 14:09:00,46B
744,AA-643-MIA-ORD,2011-12-28 07:10:00,2011-12-28 07:16:00,D16,2011-12-28 09:35:00,2011-12-28 09:17:00,L8
745,AA-4198-ORD-CLE,2011-12-28 10:40:00,2011-12-28 10:40:00,H4,2011-12-28 12:55:00,2011-12-28 12:48:00,A1
746,AA-400-DFW-JFK,2011-12-28 10:40:00,2011-12-28 10:42:00,D29,2011-12-28 14:59:00,2011-12-28 15:07:00,1
747,AA-1886-BOS-MIA,2011-12-28 10:45:00,2011-12-28 10:42:00,B32,2011-12-28 14:20:00,2011-12-28 14:01:00,D11
748,AA-1917-JFK-MCO,2011-12-28 14:55:00,2011-12-28 14:58:00,8,2011-12-28 17:55:00,2011-12-28 18:07:00,16
749,AA-3809-PHX-LAX,2011-12-28 06:00:00,2011-12-28 06:01:00,2,2011-12-28 06:40:00,2011-12-28 06:27:00,44J
750,AA-2957-DFW-CVG,2011-12-28 07:55:00,2011-12-28 07:51:00,B10B,2011-12-28 11:05:00,2011-12-28 10:55:00,3
751,UA-1500-IAH-GUA,2011-12-28 08:50:00,2011-12-28 08:50:00,E16,2011-12-28 11:43:00,2011-12-28 11:20:00,-
752,UA-3515-IAD-MSP,2011-12-28 08:19:00,2011-12-28 08:18:00,D16,2011-12-28 10:09:00,2011-12-28 10:04:00,E8
753,UA-664-ORD-PHL,2011-12-28 13:35:00,2011-12-28 13:31:00,B6,2011-12-28 16:38:00,2011-12-28 16:21:00,D9
754,UA-414-LAX-SFO,2011-12-28 06:00:00,2011-12-28 05:54:00,83,2011-12-28 07:26:00,2011-12-28 07:09:00,75
755,UA-257-JFK-SFO,2011-12-28 14:30:00,2011-12-28 14:24:00,10,2011-12-28 18:14:00,2011-12-28 17:49:00,80
756,UA-62-IAH-EWR,2011-12-28 14:30:00,2011-12-28 14:26:00,C-37,2011-12-28 19:03:00,2011-12-28 19:05:00,C104
757,UA-843-LAX-ORD,2011-12-28 14:10:00,2011-12-28 14:22:00,75B,2011-12-28 20:12:00,2011-12-28 20:22:00,C20
758,UA-248-PHX-ORD,2011-12-28 12:52:00,2011-12-28 12:52:00,3,2011-12-28 17:13:00,2011-12-28 17:13:00,B14
759,UA-248-PHX-ORD,2011-12-28 12:52:00,2011-12-28 15:20:00,3,2011-12-28 17:13:00,2011-12-28 19:43:00,C31
760,UA-397-JFK-SFO,2011-12-28 08:25:00,2011-12-28 08:20:00,8,2011-12-28 12:14:00,2011-12-28 11:19:00,85
761,UA-2704-DTW-PHX,2011-12-28 11:15:00,2011-12-28 11:15:00,D14,2011-12-28 13:40:00,2011-12-28 13:11:00,A8
762,UA-2515-DFW-CLT,2011-12-28 07:00:00,2011-12-28 07:00:00,E36,2011-12-28 10:26:00,2011-12-28 10:56:00,B10
763,UA-3373-IAD-PHL,2011-12-28 08:30:00,2011-12-28 08:28:00,A5D,2011-12-28 09:25:00,2011-12-28 09:46:00,D7
764,UA-2906-PHL-MCO,2011-12-28 15:50:00,2011-12-28 15:50:00,B13,2011-12-28 18:23:00,2011-12-28 18:16:00,58
765,UA-938-DEN-ORD,2011-12-28 15:54:00,2011-12-28 15:50:00,B45,2011-12-28 19:17:00,2011-12-28 19:00:00,C18
766,UA-3099-PHX-PHL,2011-12-28 11:55:00,2011-12-28 11:55:00,A11,2011-12-28 18:17:00,2011-12-28 18:29:00,C28
767,UA-3925-IAD-ORF,2011-12-28 08:42:00,2011-12-28 08:36:00,A2A,2011-12-28 09:55:00,2011-12-28 09:35:00,-
768,UA-5487-SFO-MRY,2011-12-28 10:37:00,2011-12-28 10:34:00,78B,2011-12-28 11:24:00,2011-12-28 11:18:00,-
769,UA-3050-PHX-CLT,2011-12-28 11:05:00,2011-12-28 11:05:00,A18,2011-12-28 16:57:00,2011-12-28 17:04:00,B6
770,UA-828-SFO-ORD,2011-12-28 23:13:00,2011-12-28 23:13:00,84,2011-12-29 05:15:00,2011-12-29 05:15:00,C23
771,UA-2830-MCO-CLT,2011-12-28 15:27:00,2011-12-28 15:27:00,58,2011-12-28 17:05:00,2011-12-28 17:02:00,B8
772,UA-37-EWR-MCO,2011-12-28 13:29:00,2011-12-28 13:30:00,C82,2011-12-28 16:22:00,2011-12-28 16:18:00,39
773,UA-37-EDI-EWR,2011-12-28 09:05:00,2011-12-28 09:31:00,-,2011-12-28 11:53:00,2011-12-28 12:36:00,B61
774,UA-2708-EWR-CLT,2011-12-28 14:55:00,2011-12-28 14:55:00,A37,2011-12-28 16:53:00,2011-12-28 16:36:00,C13
775,UA-233-LAX-JFK,2011-12-28 16:25:00,2011-12-28 16:25:00,73,2011-12-29 00:44:00,2011-12-29 00:44:00,8
776,UA-2726-FLL-PHL,2011-12-28 16:00:00,2011-12-28 16:00:00,E3,2011-12-28 18:46:00,2011-12-28 18:39:00,C20
777,UA-2945-PHL-CLT,2011-12-28 00:00:00,2011-12-28 10:11:00,C21,2011-12-28 13:45:00,2011-12-28 13:31:00,C17
778,UA-6273-YYC-SFO,2011-12-28 07:45:00,2011-12-28 07:44:00,-,2011-12-28 09:53:00,2011-12-28 09:46:00,77A
779,UA-2314-ATL-PHL,2011-12-28 14:55:00,2011-12-28 14:55:00,D23,2011-12-28 17:00:00,2011-12-28 16:50:00,B16
780,UA-382-IAD-LAX,2011-12-28 12:20:00,2011-12-28 12:32:00,C27,2011-12-28 15:08:00,2011-12-28 14:47:00,70A
781,UA-382-IAD-LAX,2011-12-28 12:20:00,2011-12-28 12:32:00,C27,2011-12-28 15:08:00,2011-12-28 14:53:00,70A
782,UA-858-PVG-SFO,2011-12-28 13:45:00,2011-12-28 13:48:00,73,2011-12-28 08:27:00,2011-12-28 07:44:00,99
783,UA-854-SFO-IAH,2011-12-28 07:35:00,2011-12-28 07:33:00,96,2011-12-28 13:30:00,2011-12-28 13:13:00,-
784,CO-1586-IAH-MCO,2011-12-28 19:00:00,2011-12-28 18:58:00,-,2011-12-28 22:12:00,2011-12-28 22:01:00,-
785,CO-1694-LAX-IAH,2011-12-28 19:41:00,2011-12-28 19:41:00,-,2011-12-28 00:44:00,2011-12-28 00:44:00,-
786,CO-1088-CLE-IAH,2011-12-28 08:35:00,2011-12-28 08:35:00,-,2011-12-28 10:55:00,2011-12-28 10:52:00,-
787,CO-16-LAX-EWR,2011-12-28 10:25:00,2011-12-28 10:43:00,-,2011-12-28 18:39:00,2011-12-28 19:07:00,-
788,CO-58-DEN-IAH,2011-12-28 11:30:00,2011-12-28 11:43:00,-,2011-12-28 14:56:00,2011-12-28 14:51:00,-
789,CO-1193-EWR-MCO,2011-12-28 09:15:00,2011-12-28 09:09:00,-,2011-12-28 12:16:00,2011-12-28 12:05:00,-
790,CO-1023-IAH-DEN,2011-12-28 11:40:00,2011-12-28 11:41:00,-,2011-12-28 13:20:00,2011-12-28 13:19:00,-
791,CO-1250-MIA-IAH,2011-12-28 14:49:00,2011-12-28 14:44:00,-,2011-12-28 16:50:00,2011-12-28 16:21:00,-
792,CO-62-IAH-EWR,2011-12-28 14:30:00,2011-12-28 14:26:00,-,2011-12-28 19:03:00,2011-12-28 19:05:00,-
793,CO-52-IAH-LAX,2011-12-28 07:35:00,2011-12-28 07:38:00,-,2011-12-28 09:30:00,2011-12-28 09:28:00,-
794,CO-1614-LAX-IAH,2011-12-28 00:30:00,2011-12-28 00:50:00,-,2011-12-28 05:36:00,2011-12-28 05:35:00,-
795,CO-89-IAH-EWR,2011-12-28 06:00:00,2011-12-28 06:01:00,-,2011-12-28 10:20:00,2011-12-28 10:22:00,-
796,CO-1090-BOS-IAH,2011-12-28 09:50:00,2011-12-28 09:51:00,-,2011-12-28 13:20:00,2011-12-28 13:05:00,-
797,CO-45-EWR-MIA,2011-12-28 15:50:00,2011-12-28 16:24:00,-,2011-12-28 19:05:00,2011-12-28 19:24:00,-
798,CO-63-EWR-IAH,2011-12-28 17:25:00,2011-12-28 17:38:00,-,2011-12-28 20:30:00,2011-12-28 20:20:00,-
799,CO-50-CLE-EWR,2011-12-28 14:55:00,2011-12-28 15:49:00,-,2011-12-28 16:53:00,2011-12-28 17:12:00,-
800,CO-1561-PHX-IAH,2011-12-28 08:05:00,2011-12-28 08:12:00,-,2011-12-28 11:37:00,2011-12-28 11:32:00,-
801,CO-47-IAH-LAX,2011-12-28 19:10:00,2011-12-28 19:54:00,-,2011-12-28 21:06:00,2011-12-28 21:03:00,-
802,AA-1221-MCO-ORD,2011-12-11 20:00:00,2011-12-11 20:00:00,15,2011-12-11 21:50:00,2011-12-11 21:38:00,K3
803,AA-4307-ORD-DTW,2011-12-11 18:45:00,2011-12-11 18:41:00,G19A,2011-12-11 21:10:00,2011-12-11 20:50:00,D28
804,AA-616-DFW-DTW,2011-12-11 09:05:00,2011-12-11 09:01:00,C19,2011-12-11 12:35:00,2011-12-11 12:35:00,D32
805,AA-431-MIA-SFO,2011-12-11 08:35:00,2011-12-11 08:25:00,E9,2011-12-11 11:50:00,2011-12-11 11:30:00,57
806,AA-3756-ORD-SLC,2011-12-11 12:15:00,2011-12-11 12:24:00,G5,2011-12-11 14:45:00,2011-12-11 14:30:00,A3
807,AA-2050-ORD-MIA,2011-12-11 10:40:00,2011-12-11 10:42:00,K9,2011-12-11 14:45:00,2011-12-11 14:36:00,D24
808,AA-3804-PHL-ORD,2011-12-11 14:35:00,2011-12-11 14:28:00,A7,2011-12-11 16:05:00,2011-12-11 15:24:00,G8
809,AA-1664-MIA-ATL,2011-12-11 10:15:00,2011-12-11 10:15:00,D12,2011-12-11 12:10:00,2011-12-11 12:04:00,T11
810,AA-789-ORD-DEN,2011-12-11 13:05:00,2011-12-11 13:02:00,H11A,2011-12-11 14:35:00,2011-12-11 14:20:00,A49
811,AA-1733-ORD-PHX,2011-12-11 19:45:00,2011-12-11 19:42:00,K12,2011-12-11 22:30:00,2011-12-11 00:00:00,6
812,AA-1733-ORD-PHX,2011-12-11 19:45:00,2011-12-11 19:42:00,K12,2011-12-11 22:30:00,2011-12-11 00:00:00,6
813,AA-4277-CVG-JFK,2011-12-11 12:10:00,2011-12-11 12:03:00,1,2011-12-11 14:15:00,2011-12-11 14:03:00,31C
814,AA-2312-DFW-DTW,2011-12-11 20:25:00,2011-12-11 00:00:00,A18,2011-12-11 23:50:00,2011-12-11 00:00:00,D32
815,AA-85-JFK-SFO,2011-12-11 15:05:00,2011-12-11 15:05:00,41,2011-12-11 18:30:00,2011-12-11 18:34:00,58B
816,AA-404-MIA-MCO,2011-12-11 06:45:00,2011-12-11 06:41:00,E7,2011-12-11 07:45:00,2011-12-11 07:42:00,15
817,AA-446-DFW-PHL,2011-12-11 11:50:00,2011-12-11 11:47:00,D31,2011-12-11 15:50:00,2011-12-11 15:53:00,A9
818,AA-2268-PHX-ORD,2011-12-11 07:15:00,2011-12-11 07:12:00,6,2011-12-11 11:35:00,2011-12-11 11:20:00,H15
819,AA-4344-ORD-DTW,2011-12-11 11:45:00,2011-12-11 11:40:00,G6B,2011-12-11 14:00:00,2011-12-11 13:48:00,D28
820,AA-484-DFW-MIA,2011-12-11 16:15:00,2011-12-11 16:14:00,D22A,2011-12-11 19:55:00,2011-12-11 19:47:00,D2
821,AA-3979-CVG-ORD,2011-12-11 07:30:00,2011-12-11 07:15:00,3,2011-12-11 08:00:00,2011-12-11 07:45:00,G19A
822,AA-3063-SLC-LAX,2011-12-11 20:20:00,2011-12-11 20:09:00,A3,2011-12-11 21:20:00,2011-12-11 00:00:00,44F
823,AA-3859-IAH-ORD,2011-12-11 07:10:00,2011-12-11 07:02:00,A30,2011-12-11 09:40:00,2011-12-11 09:21:00,H1A
824,AA-3842-MSP-ORD,2011-12-11 06:00:00,2011-12-11 06:02:00,E14,2011-12-11 07:30:00,2011-12-11 07:21:00,G11
825,AA-1544-SAN-ORD,2011-12-11 11:25:00,2011-12-11 11:18:00,27,2011-12-11 17:25:00,2011-12-11 17:04:00,H11B
826,AA-649-ORD-SNA,2011-12-11 13:30:00,2011-12-11 00:00:00,K10,2011-12-11 15:50:00,2011-12-11 00:00:00,7
827,AA-1640-MIA-MCO,2011-12-11 18:30:00,2011-12-11 00:00:00,D33,2011-12-11 19:25:00,2011-12-11 00:00:00,14
828,AA-518-MIA-JFK,2011-12-11 06:30:00,2011-12-11 06:36:00,D11,2011-12-11 09:15:00,2011-12-11 09:23:00,42
829,AA-2525-DFW-MIA,2011-12-11 07:25:00,2011-12-11 07:21:00,D30,2011-12-11 11:10:00,2011-12-11 11:17:00,D2
830,AA-1279-DFW-PHX,2011-12-11 13:00:00,2011-12-11 13:02:00,C2,2011-12-11 14:35:00,2011-12-11 14:44:00,4
831,AA-1522-SFO-ORD,2011-12-11 23:55:00,2011-12-11 00:00:00,57,2011-12-12 05:50:00,2011-12-12 00:00:00,H9
832,AA-1434-DFW-MCO,2011-12-11 07:15:00,2011-12-11 07:06:00,C33,2011-12-11 10:35:00,2011-12-11 10:33:00,17
833,AA-59-JFK-SFO,2011-12-11 07:10:00,2011-12-11 07:05:00,46,2011-12-11 10:45:00,2011-12-11 10:25:00,58B
834,AA-415-BOS-ORD,2011-12-11 08:35:00,2011-12-11 08:31:00,B31,2011-12-11 10:40:00,2011-12-11 10:08:00,H10
835,AA-222-LAX-BOS,2011-12-11 07:10:00,2011-12-11 07:02:00,47B,2011-12-11 15:30:00,2011-12-11 15:10:00,B32
836,AA-3823-LAX-DEN,2011-12-11 21:00:00,2011-12-11 00:00:00,44J,2011-12-12 00:15:00,2011-12-12 00:00:00,A49
837,AA-1165-JFK-MIA,2011-12-11 06:59:00,2011-12-11 06:55:00,3,2011-12-11 10:34:00,2011-12-11 10:14:00,D24
838,AA-3786-IAH-ORD,2011-12-11 16:00:00,2011-12-11 15:52:00,A29,2011-12-11 18:40:00,2011-12-11 18:17:00,G13
839,AA-4330-CVG-ORD,2011-12-11 15:35:00,2011-12-11 15:26:00,5,2011-12-11 16:00:00,2011-12-11 15:31:00,H3B
840,AA-3468-CVG-MIA,2011-12-11 07:00:00,2011-12-11 07:21:00,5,2011-12-11 09:55:00,2011-12-11 10:15:00,D60F
841,AA-204-LAX-MCO,2011-12-11 23:25:00,2011-12-11 00:00:00,43,2011-12-12 06:55:00,2011-12-12 00:00:00,TBA
842,AA-466-IAH-MIA,2011-12-11 06:00:00,2011-12-11 05:54:00,A27,2011-12-11 09:20:00,2011-12-11 08:56:00,D12
843,AA-3-JFK-LAX,2011-12-11 12:00:00,2011-12-11 11:54:00,44,2011-12-11 15:15:00,2011-12-11 15:03:00,47B
844,AA-1007-MIA-PHX,2011-12-11 16:55:00,2011-12-11 17:25:00,D19,2011-12-11 20:05:00,2011-12-11 20:39:00,6
845,AA-271-MIA-LAX,2011-12-11 11:35:00,2011-12-11 12:28:00,D19,2011-12-11 14:25:00,2011-12-11 00:00:00,45
846,AA-643-MIA-ORD,2011-12-11 07:10:00,2011-12-11 07:08:00,D2,2011-12-11 09:35:00,2011-12-11 09:23:00,K9
847,AA-4198-ORD-CLE,2011-12-11 10:40:00,2011-12-11 10:36:00,G8,2011-12-11 12:55:00,2011-12-11 12:43:00,A1
848,AA-400-DFW-JFK,2011-12-11 10:40:00,2011-12-11 10:41:00,C6,2011-12-11 14:59:00,2011-12-11 14:55:00,34
849,AA-1886-BOS-MIA,2011-12-11 10:45:00,2011-12-11 10:45:00,B31,2011-12-11 14:20:00,2011-12-11 14:03:00,D48
850,AA-1917-JFK-MCO,2011-12-11 14:55:00,2011-12-11 14:55:00,46,2011-12-11 17:55:00,2011-12-11 17:48:00,16
851,AA-3809-PHX-LAX,2011-12-11 06:00:00,2011-12-11 07:23:00,2,2011-12-11 06:40:00,2011-12-11 07:43:00,44J
852,AA-2957-DFW-CVG,2011-12-11 07:55:00,2011-12-11 07:55:00,B18,2011-12-11 11:05:00,2011-12-11 10:58:00,3
853,UA-1500-IAH-GUA,2011-12-11 08:55:00,2011-12-11 09:19:00,E17,2011-12-11 11:45:00,2011-12-11 11:52:00,15
854,UA-3515-IAD-MSP,2011-12-11 08:15:00,2011-12-11 08:13:00,D20,2011-12-11 10:06:00,2011-12-11 09:52:00,E8
855,UA-664-ORD-PHL,2011-12-11 13:20:00,2011-12-11 13:19:00,B5,2011-12-11 16:25:00,2011-12-11 16:15:00,D9
856,UA-414-LAX-SFO,2011-12-11 06:00:00,2011-12-11 06:00:00,73,2011-12-11 07:23:00,2011-12-11 07:20:00,88
857,UA-257-JFK-SFO,2011-12-11 14:30:00,2011-12-11 14:27:00,7,2011-12-11 18:10:00,2011-12-11 17:38:00,81
858,UA-62-IAH-EWR,2011-12-11 14:30:00,2011-12-11 15:05:00,C-44,2011-12-11 19:03:00,2011-12-11 19:27:00,C75
859,UA-843-LAX-ORD,2011-12-11 13:50:00,2011-12-11 13:58:00,73,2011-12-11 19:55:00,2011-12-11 19:32:00,C19
860,UA-248-PHX-ORD,2011-12-11 12:47:00,2011-12-11 12:47:00,3,2011-12-11 17:15:00,2011-12-11 17:03:00,B10
861,UA-248-PHX-ORD,2011-12-11 12:47:00,2011-12-11 12:41:00,3,2011-12-11 17:15:00,2011-12-11 16:39:00,B10
862,UA-397-JFK-SFO,2011-12-11 08:00:00,2011-12-11 07:53:00,10,2011-12-11 11:49:00,2011-12-11 10:56:00,81
863,UA-2704-DTW-PHX,2011-12-11 11:15:00,2011-12-11 11:15:00,D14,2011-12-11 13:40:00,2011-12-11 13:20:00,A6
